Location,Down Date,Product,Description,Mechanic Notes,Attatchment feauture,Status,Part Comment,Product #,Reporter,Category,Last Edited,Last Edited by,Mechanic,1 st attempt date,Edinger Part,Warner Part,Waterfront Part,Yorba Part
Waterfront,6/23/2021,Cruiser,"Bike keeps making clicking noises, possibly skipping,",,,Done,,5,Ally,Down,7/6/2021,Robert Mounce,,"July 6, 2021 1:45 PM-2:00 PM",,,,
Edinger,6/23/2021,Double Surrey,Does not have leg splitters,,,,,5,Edwin Solano,,6/23/2021,Robert Mounce,,,,,,
Waterfront,6/23/2021,Single Surrey,Brake is stuck/ Flat Tire,"brake handle tightens itself, so take the nut off put some locktite on the screw and tighten to where the handle can be freely move up and down",,Done,,,,Down,6/24/2021,Jonathan Soliz,Jonathan Soliz,"June 24, 2021",,,,
Waterfront,6/24/2021,Cruiser,Kickstand,Kick stand off just waiting for part,,Done,https://www.notion.so/Kickstand-b4168031d88a4b988a7a2f84a4297684,,Rob,Down,7/4/2021,Jonathan Soliz,Jonathan Soliz,"June 24, 2021 12:00 AM-10:00 AM",,,,
Waterfront,6/24/2021,Infinity Bike,New rear wheel,Rear wheel bent out of shape,,Next Week,,,Rob,Down,7/21/2021,Robert Mounce,Jonathan Soliz,"July 22, 2021",,,,
Waterfront,6/24/2021,Cruiser,Flat Tire,,,Done,https://www.notion.so/Tube-26-X-2-125-d26f3114683542c18fd1ebef179804d4,,Rob,Down,6/24/2021,Jonathan Soliz,Jonathan Soliz,"June 24, 2021 12:00 AM-10:00 AM",,,,
Waterfront,6/24/2021,Cruiser,Coaster Brake adjustment/ Rim replacement,"Customer said its making noise, so either the coaster brake is to tight or its a busted coaster brake. Try to adjust the coaster brake first if it doesn't work then just replace the wheel",,"Done, Planned",https://www.notion.so/Cruiser-rear-rim-3c4cafbd47df465d8b5d57b5c94e6790,,Ally,Down,7/6/2021,Robert Mounce,,"July 6, 2021 2:00 PM-2:15 PM",,,,
Waterfront,6/24/2021,Single Surrey,Needs Brake Adjustment,,,Done,,,Ally,Down,6/24/2021,Jonathan Soliz,Jonathan Soliz,"June 24, 2021 12:00 AM-10:00 AM",,,,
Waterfront,6/24/2021,Cruiser,Flat Tire,Need more inner tubes,,"Done, Planned",https://www.notion.so/Tube-26-X-2-125-d26f3114683542c18fd1ebef179804d4,,,Down,7/4/2021,Jonathan Soliz,,,,,,
Yorba,6/24/2021,Double Surrey,front passenger wheel bearing,Might need help with front wheel,,"Corporate, Done, Ordered",,5,Ruben,Down,7/21/2021,Robert Mounce,,,,,,
Yorba,6/24/2021,Single Surrey,Front Bearing,Might get to it. Inside bearing,,"Done, Planned",,,,Down,6/27/2021,Robert Mounce,Robert Mounce,"June 24, 2021",,,,
Yorba,6/24/2021,Deuce Coupe,Cracked Front Rim,,,"Done, Planned",,,,Down,6/27/2021,Robert Mounce,Robert Mounce,"June 24, 2021",,,,
Yorba,6/24/2021,Swan Boat,Right Side,Will get to it with max on tuesday/ Wednesday,,"Corporate, Done, Next Week, Planned",,3,,Down,7/5/2021,Robert Mounce,,"June 29, 2021 10:00 AM-11:15 AM",,,,
Yorba,6/24/2021,Chopper,Doesn't Pedal,,,Done,,,,Down,6/27/2021,Robert Mounce,Robert Mounce,"June 24, 2021",,,,
Yorba,6/24/2021,Cruiser,Broken chain guard black/ Blue,,,Ordered,https://www.notion.so/Cruiser-chain-guard-b6d65a383ebe4eb98f11f3cc8d66e896,,Rob,Down,7/26/2021,Robert Mounce,,,,1,,1
Yorba,6/24/2021,Infinity Bike,flat tire,,,Done,,,,Down,7/18/2021,Jonathan Soliz,,"July 8, 2021 3:00 PM",,,,
Yorba,6/24/2021,Infinity Bike,Flat tire,,,Done,,,,Down,7/8/2021,Robert Mounce,,"July 8, 2021 4:00 PM",,,,
Yorba,6/24/2021,Cruiser,Flat,,,Done,,,,Down,6/27/2021,Robert Mounce,Robert Mounce,"June 24, 2021",,,,
Waterfront,6/24/2021,Double Surrey,flat tire,Waiting for inter tube (July 13),,Done,,1,jarel,Down,7/20/2021,Jonathan Soliz,Jonathan Soliz,"July 11, 2021",,,,
Waterfront,6/24/2021,Cruiser,chain is off,,,Done,,9,jarel,Down,7/4/2021,Jonathan Soliz,Jonathan Soliz,"June 29, 2021",,,,
